"id";"name";"d1";"d2";"d3";"d4";"d5"
70;"3MCo.(mmm)";"15.46";"18.62";"6.06";"5.25";"14.33"
71;"UnionPacificCorp.(unp)";"15.93";"15.09";"13.10";"72.78";"11.94"
72;"InternationalBusinessMachinesCorp.(ibm)";"26.94";"24.06";"16.83";"-10.48";"27.30"
73;"Sanofi(sny)";"11.17";"5.99";"18.39";"14.76";"11.69"
74;"HoneywellInternational,Inc.(hon)";"23.56";"12.80";"14.51";"-23.99";"13.65"
75;"RoyalBankofCanada(ry)";"23.84";"23.99";"23.81";"22.69";"21.16"
76;"TheToronto-DominionBank(td)";"23.81";"22.86";"18.60";"21.69";"20.96"
77;"salesforce.com,inc.(crm)";"2.99";"3.44";"6,755.50";"5,139.40";"1,773.60"
78;"PetróleoBrasileiroSA(pbr)";"26.86";"21.95";"-16.35";"2.07";"8,981.92"
79;"AccenturePlc(acn)";"10.48";"10.58";"9.20";"11.89";"9.83"
80;"CostcoWholesaleCorp.(cost)";"10.53";"7.62";"7.13";"6.51";"9.32"
81;"UnitedTechnologiesCorp.(utx)";"13.49";"21.39";"13.68";"4.86";"14.34"
82;"GlaxoSmithKlinePlc(gsk)";"6.46";"10.56";"-4.82";"18.25";"-1.10"
83;"GeneralElectricCo.(ge)";"7.89";"4.38";"-98.63";"17.94";"14.93"
84;"AstraZenecaPlc(azn)";"3.15";"3.18";"12.78";"6.53";"4.51"
85;"ChinaPetroleum&ChemicalCorp.(snp)";"45.09";"38.56";"27.92";"23.55";"21.04"
86;"PayPalHoldings,Inc.(pypl)";"4.36";"5.26";"5.11";"6.20";"3.80"
87;"UnitedParcelService,Inc.(ups)";"15.08";"14.85";"13.45";"11.04";"12.64"
88;"PetróleoBrasileiroSA(pbr.a)";"26.86";"21.95";"-16.35";"2.07";"8,981.92"
89;"ThermoFisherScientific,Inc.(tmo)";"7.09";"7.52";"5.79";"5.30";"5.34"
90;"GileadSciences,Inc.(gild)";"20.99";"18.19";"15.39";"-38.36";"27.12"
