"id";"name";"d1";"d2";"d3";"d4";"d5"
1158;"PlanetFitness,Inc.(plnt)";"3,041.80";"2,349.30";"82.90";"1,890.20";"1,800.40"
1159;"PinnacleFinancialPartners,Inc.(pnfp)";"9,374.70";"8,686.50";"8,351.00";"2,679.78";"6,444.21"
1160;"TheWendy'sCo.(wen)";"2,987.60";"2,015.90";"1.59";"1,425.70";"-184.50"
1161;"ChoiceHotelsInternational,Inc.(chh)";"7,937.70";"2,493.10";"-637.40";"4,726.10";"4,467.60"
1162;"EMCORGroup,Inc.(eme)";"7,994.40";"7,102.10";"5,565.60";"5,332.60";"6,480.40"
1163;"BlackstoneMortgageTrust,Inc.(bxmt)";"7,816.50";"7,231.20";"6,095.80";"5,789.00";"5,772.20"
1164;"Inogen,Inc.(ingn)";"1,461.00";"1,075.80";"-60.60";"733.80";"833.80"
1165;"SeniorHousingPropertiesTrust(snh)";"4,282.50";"5,486.80";"1,894.50";"3,441.40";"1,604.20"
1166;"FirstFinancialBankshares,Inc.(Texas)(ffin)";"4,005.00";"3,763.30";"3,451.90";"3,614.40";"2,937.40"
1167;"Rayonier,Inc.(ryn)";"3,625.80";"4,053.90";"6,420.00";"2,468.80";"2,616.10"
1168;"FirstIndustrialRealtyTrust,Inc.(fr)";"3,081.00";"4,505.80";"3,619.50";"9,765.60";"4,305.30"
1169;"Conduent,Inc.(cndt)";"1,100.00";"-5,000.00";"2.08";"-1,700.00";"-400.00"
1170;"LionsGateEntertainmentCorp.(lgf.a)";"-1,140.00";"8,960.00";"1.91";"1,290.00";"1.75"
1171;"UnitedStatesCellularCorp.(usm)";"5,200.00";"5,500.00";"2.73";"-2.98";"1,200.00"
1172;"OshkoshCorp.(osk)";"1.53";"1.11";"5,640.00";"9,350.00";"1.29"
1173;"AngloGoldAshantiLtd.(au)";"5,938.91";"-6,706.26";"-1,228.22";"467.99";"-5,261.85"
1174;"Jabil,Inc.(jbl)";"-5,660.80";"4,270.20";"3,752.80";"6,391.90";"4,604.10"
1175;"AssociatedBanc-Corp(asb)";"8,551.30";"8,875.20";"6,913.60";"4,975.50";"6,463.80"
1176;"ALLETE,Inc.(ale)";"3,130.00";"5,100.00";"4,140.00";"4,490.00";"3,690.00"
1177;"SabraHealthCareREIT,Inc.(sbra)";"1.94";"5,991.00";"1.01";"1,253.40";"1,796.00"
1178;"CrackerBarrelOldCountryStore,Inc.(cbrl)";"6,135.40";"4,874.70";"9,113.90";"4,638.00";"5,389.30"
1179;"FirstSolar,Inc.(fslr)";"5,775.00";"-4,849.10";"8,295.10";"-4.32";"2.06"
1180;"SouthwestGasHoldings,Inc.(swx)";"2,155.10";"7,829.40";"9,639.60";"1,042.00";"1,812.10"
1181;"RadianGroupInc.(rdn)";"--";"--";"--";"--";"--"
1182;"AirLeaseCorp.(al)";"1.15";"1.11";"4.71";"9,918.80";"1.01"
1183;"EmbraerSA(erj)";"-1.28";"-1,023.40";"3,810.71";"1.13";"6,955.08"
1184;"KemperCorp.(kmpr)";"10.00";"20.00";"100.00";"-10.00";"--"
1185;"GrupoAeroportuariodelPacíficoSABdeCV(pac)";"6,121.94";"7,700.61";"5,046.17";"6,044.11";"6,094.87"
1186;"PenskeAutomotiveGroup,Inc.(pag)";"1.30";"1.35";"1.08";"3.29";"9,420.00"
1187;"MEDNAX,Inc.(md)";"7,941.20";"6,342.80";"1.36";"6,588.00";"6,369.80"
1188;"AMCNetworks,Inc.(amcx)";"1.10";"1.61";"1.49";"9,083.60";"1.08"
1189;"TaroPharmaceuticalIndustriesLtd.(taro)";"6,742.80";"8,652.40";"1,666.00";"5,262.80";"5,460.20"
1190;"NewfieldExplorationCo.(nfx)";"1.19";"8,600.00";"9,500.00";"8,700.00";"9,800.00"
1191;"RangeResourcesCorp.(rrc)";"4,794.90";"-7,990.50";"4,867.00";"2.19";"-1.28"
1192;"Valvoline,Inc.(vvv)";"6,400.00";"6,700.00";"-1,000.00";"1.05";"5,600.00"
1193;"GreenDotCorp.(gdot)";"2,982.70";"7,003.10";"1,222.80";"1,363.90";"1,926.60"
1194;"MKSInstruments,Inc.(mksi)";"9,327.70";"1.23";"1.05";"7,763.80";"7,599.40"
1195;"AutoNation,Inc.(an)";"9,740.00";"9,330.00";"1.52";"9,760.00";"8,770.00"
1196;"SelectiveInsuranceGroup,Inc.(sigi)";"--";"--";"--";"--";"--"
1197;"GWPharmaceuticalsPlc(gwph)";"-3,683.08";"-8,720.35";"-6,228.86";"-5,411.81";"-5,167.20"
1198;"EnstarGroupLtd.(esgr)";"--";"--";"-886.20";"349.50";"-487.10"
1199;"RymanHospitalityProperties,Inc.(rhp)";"5,554.60";"2,733.90";"7,231.80";"2,387.00";"4,729.20"
1200;"IntelsatSA(i)";"-4,584.00";"-6,584.90";"-8,895.60";"-2,941.60";"-2,280.00"
1201;"F.N.B.Corp.(Pennsylvania)(fnb)";"1.01";"8,520.60";"8,676.20";"2,412.60";"7,769.30"
1202;"NuSkinEnterprises,Inc.(nus)";"5,096.10";"3,553.90";"1,823.50";"4,167.20";"4,204.10"
1203;"AcxiomHoldings,Inc.(acxm)";"-301.50";"517.50";"2,294.10";"-333.60";"-130.00"
1204;"Spire,Inc.(Missouri)(sr)";"2,580.00";"9,800.00";"1.16";"-1,330.00";"2,160.00"
1205;"Cree,Inc.(cree)";"-1,113.40";"-3,327.10";"-2.41";"1,375.20";"-1,987.30"
1206;"AppleHospitalityREIT,Inc.(aple)";"6,763.00";"4,218.20";"-230.30";"6,282.40";"8,760.60"
1207;"OneMainHoldings,Inc.(omf)";"700.00";"1.24";"3,900.00";"6,900.00";"4,200.00"
1208;"CoreLaboratoriesNV(clb)";"2,219.70";"2,513.30";"2,392.30";"2,165.20";"2,105.30"
1209;"MBFinancial,Inc.(mbfi)";"4,271.40";"3,853.20";"7,203.50";"1.44";"6,084.20"
1210;"FlexLtd.(flex)";"8,688.50";"1.16";"-1,959.50";"1.18";"2.05"
1211;"DeckersOutdoorCorp.(deck)";"7,437.20";"-3,040.70";"2,061.50";"8,634.10";"4,955.90"
1212;"AUOptronicsCorp.(auo)";"133.43";"1.37";"1.21";"2.72";"2.96"
1213;"EndoInternationalPlc(endp)";"-5,247.90";"-4.98";"-2.72";"-9,968.70";"-6.96"
1214;"EchoStarCorp.(sats)";"7,768.40";"-2,117.10";"3.12";"3,585.50";"659.10"
1215;"SchneiderNational,Inc.(sndr)";"6,580.00";"4,760.00";"2.84";"3,690.00";"4,647.30"
1216;"ScottsMiracle-GroCo.(smg)";"1.26";"1.53";"-2,000.00";"-4,230.00";"1.52"
1217;"LionsGateEntertainmentCorp.(lgf.b)";"-1,140.00";"8,960.00";"1.91";"1,290.00";"1.75"
1218;"CimpressNV(cmpr)";"-563.90";"-160.20";"3,062.30";"2,340.60";"-3,451.30"
1219;"EquityCommonwealth(eqc)";"3,076.70";"3,503.60";"1.86";"-2,355.80";"3,121.50"
1220;"IngevityCorp.(ngvt)";"5,170.00";"5,220.00";"3,580.00";"4,780.00";"3,840.00"
1221;"TetraTech,Inc.(ttek)";"3,334.50";"2,874.70";"4,605.20";"3,448.70";"2,997.50"
1222;"LaSalleHotelProperties(lho)";"3,147.90";"-1,119.70";"1,181.90";"3,097.90";"4,423.50"
1223;"AmeriGasPartnersLP(apu)";"-7,477.20";"1.50";"1.04";"-1,803.50";"-4,679.40"
1224;"Entegris,Inc.(entg)";"4,806.00";"5,434.90";"5,756.20";"-2,834.10";"4,090.20"
1225;"WeingartenRealtyInvestors(wri)";"2,590.20";"3,133.60";"3,777.90";"3,592.20";"3,405.00"
1226;"PSBusinessParks,Inc.(psb)";"2,513.10";"7,022.10";"4,604.80";"2,522.80";"2,503.80"
1227;"HealthcareRealtyTrust,Inc.(hr)";"3,714.70";"860.10";"-3,769.10";"263.50";"2,522.40"
1228;"TheStarsGroup,Inc.(tsg)";"-1.55";"7,436.10";"4,717.50";"7,587.40";"7,048.30"
1229;"AmericoldRealtyTrust,Inc.(cold)";"2,102.20";"-1,045.70";"54.60";"-1,185.20";"-59.20"
1230;"ViaSat,Inc.(vsat)";"-3,549.70";"-1,951.60";"-2,562.10";"-1,389.20";"-924.60"
1231;"Compa�0�9íadeMinasBuenaventuraSAA(bvn)";"-1,364.72";"3,878.41";"3,179.52";"1,135.34";"-367.56"
1232;"AcadiaHealthcareCo.,Inc.(achc)";"5,889.00";"5,087.40";"6,968.90";"4,548.90";"4,963.80"
1233;"CousinsProperties,Inc.(cuz)";"1,951.80";"1,595.90";"1,641.50";"1,803.80";"1,210.00"
1234;"SpiritAirlines,Inc.(save)";"9,748.00";"1,125.40";"-4,492.20";"2.50";"6,019.00"
1235;"GlacierBancorp,Inc.(gbci)";"4,933.60";"4,438.40";"3,855.90";"1,495.60";"3,647.90"
1236;"HancockWhitneyCorp.(hwc)";"8,387.80";"6,984.90";"7,110.90";"5,434.50";"5,765.80"
1237;"LigandPharmaceuticals,Inc.(lgnd)";"7,316.00";"4,527.90";"-701.00";"842.60";"605.80"
1238;"AgiosPharmaceuticals,Inc.(agio)";"-6,874.50";"-9,082.50";"-8,828.50";"-7,713.70";"-8,308.20"
1239;"HUYA,Inc.(huya)";"-3.33";"493.90";"75.26";"-439.29";"-2,014.74"
1240;"51job,Inc.(jobs)";"-898.63";"-5,309.46";"4,618.48";"-2,495.78";"1,031.29"
1241;"CleanHarbors,Inc.(clh)";"3,074.70";"-1,263.10";"8,419.40";"1,205.80";"2,588.00"
1242;"CompanhiaBrasileiradeDistribuicao(cbd)";"4,733.36";"1.19";"3,326.72";"6,543.96";"349.79"
1243;"SproutsFarmersMarkets,Inc.(sfm)";"4,170.90";"6,662.40";"3,969.90";"3,148.60";"4,096.80"
1244;"EastGroupProperties,Inc.(egp)";"2,301.00";"1,822.70";"2,871.30";"1,759.00";"1,588.40"
1245;"TCFFinancialCorp.(tcf)";"8,883.90";"6,220.10";"7,293.40";"1.04";"5,726.20"
1246;"Bilibili,Inc.(bili)";"-1,102.24";"-909.00";"-775.99";"-218.64";"-734.81"
1247;"RitchieBros.Auctioneers,Inc.(rba)";"4,572.70";"1,720.70";"3,683.70";"1,032.30";"1,771.30"
1248;"j2Global,Inc.(jcom)";"2,805.50";"1,865.40";"4,920.70";"3,193.80";"3,097.50"
1249;"FirstCash,Inc.(fcfs)";"3,332.50";"3,017.10";"4,163.50";"6,773.40";"2,827.40"
1250;"BGCPartners,Inc.(bgcp)";"1.19";"3,520.30";"5,877.40";"-1.20";"8,152.90"
1251;"EsterlineTechnologiesCorp.(esl)";"2,987.50";"2,412.70";"-3,446.20";"3,134.00";"3,156.60"
1252;"Patterson-UTIEnergy,Inc.(pten)";"-7,504.20";"-1,071.30";"-3,441.70";"1.95";"-3,376.90"
1253;"RBCBearings,Inc.(roll)";"2,746.70";"2,667.70";"2,383.20";"1,482.30";"2,180.90"
1254;"ASGN,Inc.(asgn)";"4,921.70";"3,360.10";"2,924.00";"6,737.70";"3,487.90"
1255;"ParamountGroup,Inc.(pgre)";"-3,483.40";"109.60";"-697.70";"-1,022.70";"1.03"
1256;"SpiritRealtyCapital,Inc.(src)";"1,423.10";"2,835.20";"809.40";"-365.00";"775.00"
1257;"WyndhamDestinations,Inc.(wynd)";"-1,200.00";"8,100.00";"4.62";"2.03";"7,800.00"
1258;"TrexCo.,Inc.(trex)";"4,282.00";"3,711.00";"1,829.90";"2,009.80";"2,878.20"
1259;"UnitedBankshares,Inc.(WestVirginia)(ubsi)";"6,441.20";"6,615.30";"6,159.80";"1,795.40";"5,665.20"
1260;"Yelp,Inc.(yelp)";"1,070.40";"-228.60";"1.42";"794.70";"759.00"
1261;"ManchesterUnitedPlc(manu)";"-2,207.65";"15.03";"-3,858.76";"1,039.66";"3,105.08"
1262;"Syntel,Inc.(synt)";"4,114.80";"4,563.90";"4,240.30";"4,883.30";"3,665.20"
1263;"AvistaCorp.(ava)";"2,564.40";"5,495.60";"2,761.50";"445.80";"2,172.20"
1264;"BankUnited,Inc.(bku)";"9,355.70";"8,643.70";"8,201.90";"4.02";"6,525.40"
1265;"ThorIndustries,Inc.(tho)";"8,820.50";"1.34";"7,975.20";"1.28";"1.19"
1266;"TaubmanCenters,Inc.(tco)";"1,530.70";"1,859.00";"2,025.10";"436.30";"1,348.30"
1267;"BANKOZK(ozk)";"7,417.90";"1.15";"1.13";"1.46";"9,604.70"
1268;"2U,Inc.(twou)";"-1,834.70";"-1,487.10";"50.90";"-1,473.90";"-1,175.40"
1269;"Dick'sSportingGoods,Inc.(dks)";"1.19";"6,008.50";"1.16";"3,691.30";"1.12"
1270;"SiliconLaboratories,Inc.(slab)";"2,776.10";"1,428.00";"2,640.50";"-485.20";"1,994.90"
1271;"ChesapeakeEnergyCorp.(chk)";"-1,600.00";"2.92";"3.33";"-1,700.00";"4.87"
1272;"BostonBeerCo.,Inc.(sam)";"3,800.70";"2,353.50";"931.00";"3,053.00";"3,368.30"
1273;"PlainsGPHoldingsLP(pagp)";"9,600.00";"2.73";"-6.47";"3,100.00";"1.74"
1274;"ValleyNationalBancorp(vly)";"6,955.90";"7,280.20";"4,196.50";"2,609.80";"3,964.90"
1275;"CoupaSoftware,Inc.(coup)";"-1,385.40";"-1,545.40";"-872.30";"-1,130.20";"-1,374.20"
1276;"BlackStoneMineralsLP(bsm)";"2,869.00";"4,195.70";"1,936.00";"2,203.40";"5,417.40"
1277;"Stamps.com,Inc.(stmp)";"4,552.40";"4,704.40";"4,020.00";"4,622.50";"3,104.00"
1278;"RLJLodgingTrust(rlj)";"5,630.40";"2,081.60";"-862.20";"159.70";"4,193.60"
1279;"TheBrink'sCo.(bco)";"1,890.00";"-1.08";"2,530.00";"-5,140.00";"2,110.00"
1280;"InvestorsBancorp,Inc.(NewJersey)(isbc)";"5,422.40";"5,709.70";"5,792.50";"-475.40";"4,584.50"
1281;"EnergizerHoldings,Inc.(enr)";"2,380.00";"780.00";"6,040.00";"3,410.00";"2,490.00"
1282;"EducationRealtyTrust,Inc.(edr)";"4,171.10";"1,887.60";"2,465.50";"-87.90";"464.50"
1283;"LumentumHoldings,Inc.(lite)";"3,350.00";"270.00";"2.05";"710.00";"-5,490.00"
1284;"Univar,Inc.(unvr)";"5,600.00";"6,530.00";"2,700.00";"3,890.00";"3,120.00"
1285;"OlinCorp.(oln)";"5,860.00";"2,090.00";"4.89";"5,270.00";"-590.00"
1286;"GraphicPackagingHoldingCo.(gpk)";"1.22";"6,600.00";"4,270.00";"1.74";"4,730.00"
1287;"VersumMaterials,Inc.(vsm)";"6,410.00";"6,330.00";"2,060.00";"4,610.00";"5,470.00"
1288;"HomeBancshares,Inc.(Arkansas)(homb)";"8,028.40";"7,602.50";"7,306.40";"2,330.90";"1,482.10"
1289;"Evercore,Inc.(evr)";"4,946.10";"6,893.10";"9,554.30";"-1,941.20";"4,591.10"
1290;"Telephone&DataSystems,Inc.(tds)";"4,400.00";"5,700.00";"3.33";"-2.31";"1,200.00"
1291;"NexstarMediaGroup,Inc.(nxst)";"8,660.60";"4,734.10";"3.80";"4,207.20";"4,845.50"
1292;"Blackbaud,Inc.(blkb)";"659.20";"1,775.10";"3,070.90";"1,254.80";"1,116.50"
1293;"PaylocityHoldingCorp.(pcty)";"-155.30";"3,917.70";"43.10";"54.30";"-384.40"
1294;"ChimeraInvestmentCorp.(cim)";"1.09";"2.30";"9,820.70";"1.30";"1.06"
1295;"MasTec,Inc.(mtz)";"8,040.10";"2,646.30";"1.61";"6,420.10";"8,333.20"
1296;"UnitiGroup,Inc.(unit)";"-556.20";"-87.00";"2,053.90";"293.90";"-1,824.20"
1297;"ColfaxCorp.(cfx)";"3,789.80";"6,750.80";"3,187.90";"-1.84";"4,962.20"
1298;"TribuneMediaCo.(trco)";"8,440.80";"1.41";"3.33";"-1,870.10";"-2,984.40"
1299;"KinrossGoldCorp.(kgc)";"210.00";"1.06";"2.17";"6,010.00";"3,170.00"
1300;"BlackHillsCorp.(bkh)";"2,716.70";"1.39";"7,132.00";"3,159.80";"2,531.10"
1301;"TriNetGroup,Inc.(tnet)";"5,800.00";"5,400.00";"6,600.00";"4,283.60";"3,995.10"
1302;"CantelMedicalCorp.(cmd)";"1,684.90";"1,867.70";"3,238.10";"2,280.50";"1,699.70"
1303;"CompanhiaSiderurgicaNacional(sid)";"3.30";"4.58";"1.15";"8,146.40";"-1.97"
1304;"DarlingIngredients,Inc.(dar)";"-2,913.80";"9,807.50";"1.07";"868.40";"1,032.80"
1305;"AmericanNationalInsuranceCo.(anat)";"--";"--";"--";"--";"--"
1306;"ChurchillDowns,Inc.(chdn)";"1.03";"1,410.00";"3,440.00";"1,670.00";"7,830.00"
1307;"HelenofTroyLtd.(hele)";"4,401.70";"3,817.30";"837.80";"-3,043.60";"893.30"
1308;"RLICorp.(rli)";"--";"--";"--";"--";"--"
1309;"SunstoneHotelInvestors,Inc.(sho)";"4,544.30";"3,263.30";"1,594.70";"464.40";"4,577.70"
1310;"AxonEnterprise,Inc.(aaxn)";"848.50";"1,292.60";"-207.10";"42.20";"227.60"
1311;"BankofHawaiiCorp.(boh)";"5,693.30";"5,471.80";"5,404.00";"4,295.30";"4,588.10"
1312;"TexasCapitalBancshares,Inc.(tcbi)";"8,555.20";"7,143.60";"7,194.50";"4,474.20";"5,868.40"
1313;"NomadFoodsLtd.(nomd)";"3,691.71";"7,668.99";"3,214.14";"4,921.97";"2,125.67"
1314;"MatadorResourcesCo.(mtdr)";"6,563.70";"6,492.40";"4,244.10";"1,797.90";"3,168.70"
1315;"MercuryGeneralCorp.(mcy)";"--";"--";"--";"--";"--"
1316;"SodaStreamInternationalLtd.(soda)";"2,611.00";"1,856.80";"2,553.00";"1,975.50";"1,437.00"
1317;"LaureateEducation,Inc.(laur)";"2.94";"1.14";"2.01";"-1.04";"4,788.60"
1318;"NeogenCorp.(neog)";"1,523.70";"1,754.50";"1,658.10";"1,715.30";"1,193.60"
1319;"TurquoiseHillResourcesLtd.(trq)";"2.04";"7,970.40";"3,392.50";"4,768.20";"-39.50"
1320;"Zynga,Inc.(znga)";"-91.10";"560.90";"1,292.60";"1,809.10";"509.30"
1321;"WolverineWorldWide,Inc.(www)";"5,430.00";"4,570.00";"-5,950.00";"2,230.00";"2,000.00"
1322;"ColonyNorthStar,Inc.(clns)";"-7,334.30";"-3.70";"-102.70";"3,600.90";"-745.40"
1323;"Amedisys,Inc.(amed)";"3,354.10";"2,732.00";"-370.60";"1,466.10";"452.90"
1324;"ChemicalFinancialCorp.(chfc)";"7,039.70";"6,894.80";"7,010.60";"951.70";"4,033.00"
1325;"KLX,Inc.(klxi)";"3,480.00";"3,170.00";"-1,150.00";"2,580.00";"2,070.00"
1326;"MacquarieInfrastructureCorp.(mic)";"3,627.90";"4,679.50";"3.61";"3,617.30";"2,602.50"
1327;"SemiconductorManufacturingInternationalCorp.(smi)";"3,128.98";"2,731.27";"-170.40";"3,065.99";"3,345.56"
1328;"CoreLogic,Inc.(clgx)";"2,253.50";"5,853.20";"2,836.20";"6,481.60";"3,082.80"
1329;"AlleghenyTechnologies,Inc.(ati)";"5,560.00";"7,560.00";"6,050.00";"520.00";"-1.19"
1330;"TallgrassEnergyPartnersLP(tep)";"1.10";"9,237.30";"1.86";"9,082.90";"7,178.40"
1331;"InternationalGameTechnologyPlc(igt)";"1.95";"-6,450.40";"1.06";"-7.74";"-2.52"
1332;"EagleMaterials,Inc.(exp)";"6,633.90";"3,700.80";"1.01";"6,336.20";"5,488.20"
1333;"FireEye,Inc.(feye)";"-7,285.90";"-7,183.00";"-7,702.60";"-7,294.50";"-7,073.20"
1334;"HollyEnergyPartnersLP(hep)";"4,149.90";"4,863.50";"8,811.50";"4,306.10";"4,285.60"
1335;"ArdaghGroupSA(ard)";"700.00";"5,800.00";"-1,500.00";"3,532.02";"6,225.88"
1336;"NuVasive,Inc.(nuva)";"1,153.10";"-2,713.20";"2,352.40";"3,318.50";"1,222.90"
1337;"ProtoLabs,Inc.(prlb)";"2,093.70";"1,831.40";"1,805.10";"1,427.20";"1,322.00"
1338;"UMBFinancialCorp.(umbf)";"5,784.90";"5,542.40";"5,753.30";"4,735.70";"4,887.20"
1339;"CoreSiteRealtyCorp.(cor)";"1,860.00";"1,938.90";"2,030.20";"1,491.20";"1,575.80"
1340;"WhitingPetroleumCorp.(wll)";"212.00";"1,501.20";"-7.98";"-2.86";"-6,598.10"
1341;"JohnBeanTechnologiesCorp.(jbt)";"3,350.00";"160.00";"1,980.00";"2,640.00";"1,830.00"
1342;"NationalHealthInvestors,Inc.(nhi)";"3,783.90";"3,843.20";"3,779.80";"3,909.20";"3,824.50"
1343;"KapStonePaper&PackagingCorp.(ks)";"7,251.10";"5,318.30";"3,274.10";"1.88";"3,002.60"
1344;"EnerSys(ens)";"4,602.00";"5,413.90";"-2,577.90";"4,315.10";"4,832.20"
1345;"PNMResources,Inc.(pnm)";"4,244.90";"1,879.90";"-5,058.50";"7,832.70";"4,123.10"
1346;"NavistarInternationalCorp.(nav)";"1.77";"6,100.00";"-6,600.00";"1.42";"4,100.00"
1347;"OasisPetroleum,Inc.(oas)";"-3.16";"371.20";"1.28";"-4,106.40";"1,656.80"
1348;"JohnWiley&Sons,Inc.(jw.b)";"2,629.50";"5,406.00";"6,884.20";"6,004.80";"923.60"
1349;"StifelFinancialCorp.(sf)";"8,494.30";"8,641.70";"-433.20";"6,419.30";"5,046.70"
1350;"PhysiciansRealtyTrust(doc)";"1,130.30";"1,042.10";"953.60";"1,201.80";"967.00"
1351;"CathayGeneralBancorp(caty)";"6,975.70";"7,366.40";"6,381.60";"2,594.00";"4,974.60"
1352;"ArrayBioPharma,Inc.(arry)";"-5,244.80";"-2,285.10";"-3,405.30";"-3,799.40";"-2,959.20"
1353;"JohnWiley&Sons,Inc.(jw.a)";"2,629.50";"5,406.00";"6,884.20";"6,004.80";"923.60"
1354;"CVBFinancialCorp.(cvbf)";"3,855.80";"3,527.90";"3,480.50";"1,779.40";"2,957.60"
1355;"HealthcareServicesGroup,Inc.(hcsg)";"2,608.60";"2,581.40";"7.20";"2,018.60";"2,347.20"
1356;"ExtendedStayAmerica,Inc.(stay)";"6,557.00";"3,109.50";"4,015.00";"6,625.00";"4,972.50"
1357;"Louisiana-PacificCorp.(lpx)";"1.63";"9,490.00";"1.31";"1.11";"9,450.00"
1358;"RPC,Inc.(res)";"4,996.70";"5,927.00";"5,153.90";"5,699.30";"5,660.20"
1359;"BalchemCorp.(bcpc)";"1,967.90";"1,934.60";"4,197.50";"1,604.30";"1,653.60"
1360;"VonageHoldingsCorp.(vg)";"855.90";"2,452.40";"-5,527.30";"1,060.20";"482.50"
1361;"CNOFinancialGroup,Inc.(cno)";"--";"--";"--";"--";"--"
1362;"Aaron's,Inc.(aan)";"4,372.00";"3,850.10";"5,224.60";"1.78";"2,534.10"
1363;"BoardwalkPipelinePartnersLP(bwp)";"9,720.00";"8,420.00";"6,980.00";"2,370.00";"1.19"
1364;"RegalBeloitCorp.(rbc)";"6,730.00";"5,930.00";"5,260.00";"6,360.00";"5,430.00"
1365;"OaktreeCapitalGroupLLC(oak)";"5,275.00";"3,112.10";"5,273.20";"1,341.40";"4,584.10"
1366;"EnscoPlc(esv)";"-1.42";"-1.41";"-2.09";"-2,810.00";"-4,480.00"
1367;"GuangshenRailwayCo.,Ltd.(gsh)";"4,532.20";"3,244.38";"6,992.42";"1,898.16";"5,696.55"
1368;"Cleveland-Cliffs,Inc.(clf)";"2.00";"2.29";"-8,480.00";"3.23";"2,060.00"
1369;"ArmstrongWorldIndustries,Inc.(awi)";"4,740.00";"4,110.00";"1.04";"4,330.00";"4,140.00"
1370;"HorizonPharmaPlc(hznp)";"-3,283.60";"-1.57";"-4,644.80";"-6,397.10";"-2.10"
1371;"Coca-ColaFEMSASABdeCV(kof)";"1.59";"1.64";"1.36";"-12.47";"1.86"
1372;"MyriadGenetics,Inc.(mygn)";"1,310.00";"1,130.00";"3,210.00";"8,100.00";"1,270.00"
1373;"NorthWesternCorp.(nwe)";"2,818.20";"4,378.70";"5,849.90";"4,789.40";"3,641.20"
1374;"TelecomItaliaSpA(ti.a)";"4.49";"3.10";"1.86";"5.63";"2.41"
1375;"PlatformSpecialtyProductsCorp.(pah)";"1,180.00";"3,800.00";"-1.46";"-6,630.00";"-6,000.00"
1376;"MeritMedicalSystems,Inc.(mmsi)";"1,661.90";"1,094.10";"526.90";"680.60";"-356.90"
1377;"PerformanceFoodGroupCo.(pfgc)";"6,440.00";"3,370.00";"7,800.00";"2,260.00";"4,040.00"
1378;"GrahamHoldingsCo.(ghc)";"4,632.20";"4,267.00";"2.13";"2,461.30";"4,160.40"
1379;"DelekUSHoldings,Inc.(dk)";"8,750.00";"-1,180.00";"2.27";"1.19";"-3,220.00"
1380;"SYNNEXCorp.(snx)";"6,862.30";"9,282.90";"2,421.10";"9,023.40";"7,447.40"
1381;"LibertyLatinAmericaLtd.(lilak)";"-2,750.00";"-5,430.00";"-4.41";"-3.56";"-1,270.00"
1382;"LibertyLatinAmericaLtd.(lila)";"-2,750.00";"-5,430.00";"-4.41";"-3.56";"-1,270.00"
1383;"ManhattanAssociates,Inc.(manh)";"2,845.50";"2,766.80";"2,265.20";"2,451.40";"3,259.90"
1384;"EmergentBioSolutions,Inc.(ebs)";"5,014.40";"-490.80";"3,394.20";"3,355.10";"461.60"
1385;"CabotCorp.(cbt)";"9,900.00";"-1.63";"-1.12";"7,500.00";"5,300.00"
1386;"NavientCorp.(navi)";"1.14";"8,300.00";"1.26";"-8,400.00";"1.76"
1387;"AnteroMidstreamGPLP(amgp)";"1,388.10";"1,239.20";"590.70";"297.80";"-326.10"
1388;"J&JSnackFoodsCorp.(jjsf)";"2,612.90";"1,783.30";"3,624.90";"2,434.30";"2,530.40"
1389;"Hillenbrand,Inc.(hi)";"3,620.00";"-2,130.00";"1,910.00";"3,790.00";"3,460.00"
1390;"CommunityBankSystem,Inc.(cbu)";"4,310.60";"4,441.80";"3,996.50";"7,181.60";"3,507.90"
1391;"ValeroEnergyPartnersLP(vlp)";"7,034.90";"6,401.10";"6,607.10";"6,425.60";"5,758.20"
1392;"SouthwesternEnergyCo.(swn)";"-2,900.00";"5,100.00";"2.08";"3.34";"7,700.00"
1393;"Coherent,Inc.(cohr)";"6,697.00";"6,530.20";"4,190.30";"7,288.70";"6,287.10"
1394;"Adientplc(adnt)";"7,300.00";"-1.43";"-1.96";"3.61";"2.26"
1395;"RyderSystem,Inc.(r)";"8,918.50";"4,336.10";"3,381.40";"6.40";"5,869.10"
1396;"WrightMedicalGroupNV(wmgi)";"-9,062.10";"-1,990.70";"2,685.20";"-3,412.20";"-2,096.00"
1397;"CompanhiaEnergéticadeMinasGeraisSA(cig)";"-2,265.65";"1.43";"1.86";"-2,644.87";"4,294.92"
1398;"BarnesGroup,Inc.(b)";"3,910.90";"4,942.90";"3,881.80";"-5,924.80";"3,533.30"
1399;"CedarFairLP(fun)";"1,924.30";"-8,340.00";"5,754.70";"1.91";"3,136.80"
1400;"ScienceApplicationsInternationalCorp.(saic)";"4,900.00";"4,900.00";"5,100.00";"4,300.00";"3,600.00"
1401;"CopaHoldingsSA(cpa)";"4,989.40";"1.36";"1.01";"1.04";"6,299.70"
1402;"Stantec,Inc.(stn)";"3,067.01";"2,909.54";"881.00";"3,680.61";"7,261.06"
1403;"Greif,Inc.(gef.b)";"7,200.00";"5,190.00";"6,010.00";"3,970.00";"4,750.00"
1404;"AdtalemGlobalEducation,Inc.(atge)";"9,748.20";"4,451.30";"-5,536.20";"1,291.60";"4,335.40"
1405;"TheTimkenCo.(tkr)";"9,190.00";"8,050.00";"2,810.00";"5,410.00";"8,200.00"
1406;"FinancialEngines,Inc.(fngn)";"1,754.40";"626.40";"1,541.90";"1,280.30";"1,217.40"
